DATE|OFFICIAL|PLACARD_TYPE|PLATFORM|POST_ID|POST_URL|IMAGE_HASH|TEXT_SNIPPET|BLOCK_TYPE|NOTES|OPENSECRETS_CONTEXT
2026-08-04|Nancy Mace|Handmaid's Tale I didn't vote + spam popup Post_ID 30|Facebook|30|https://facebook.com/post/30|hash30|Handmaid's Tale I didn't vote for this + spam popup|Rate Limit|Logged 2026-08-04 Post_ID 30|Small Individual 12.99% $449,704 grassroots vs PAC mix
2026-08-04|Nancy Mace|No Funds for Fascists Act|Facebook|31|https://facebook.com/post/31|hash31|No Funds for Fascists Act 4x occurrence|Filter|Logged 2026-08-04 Post_ID 31|Republican/Conservative $485,687
2026-08-04|Nashville Tea Party|You get the boot with both! 4K likes 1.3K shares|FB+IG|32|https://facebook.com/post/32|hash32|You get the boot with both! 4K likes 1.3K shares|Block + Rate Limit|Logged 2026-08-04 Post_ID 32|Grassroots meme page — high amplification 4K/1.3K
2026-08-04|Nashville Tea Party|Obamacare is Communism AI meme Dave Ramsey|FB+IG|33|https://facebook.com/post/33|hash33|Obamacare is Communism AI meme Dave Ramsey|Block|Logged 2026-08-04 Post_ID 33|Grassroots meme — Dave Ramsey format
2026-08-04|Nashville Tea Party|You get the boot with both! duplicate 3|FB+IG|34|https://facebook.com/post/34|hash34|You get the boot with both! duplicate|Rate Limit|Logged 2026-08-04 Post_ID 34|Duplication Nashville 5x
2026-08-04|Nashville Tea Party|You get the boot with both! duplicate 4|FB+IG|35|https://facebook.com/post/35|hash35|You get the boot with both! duplicate|Block|Logged 2026-08-04 Post_ID 35|Duplication Nashville 5x
2026-08-04|Nashville Tea Party|You get the boot with both! duplicate 5|FB+IG|36|https://facebook.com/post/36|hash36|You get the boot with both! 5th|Rate Limit|Logged 2026-08-04 Post_ID 36|Nashville 5x total
2026-08-04|Brandon Gill (Arra Posa)|AI content impersonation|Facebook|40|https://facebook.com/post/40|hash40|AI content impersonation Arra Posa|AI Flag|Logged 2026-08-04 Post_ID 40|Page run by Arra Posa
2026-08-04|The Telegraph|Boy George cancelled by thought police|Facebook|41|https://facebook.com/post/41|hash41|Boy George cancelled by thought police|Block|Logged 2026-08-04 Post_ID 41|Framing test vs humanitarian reports
2026-08-04|Celebrity Speech Test|Post_ID 56 Opinion tolerance|Facebook|56|https://facebook.com/post/56|hash56|Celebrity speech test opinion tolerance|Block|Logged 2026-08-04 Post_ID 56|Content-based spam filter hypothesis
